host_name,planet_name,B_gauss,Prot_d,Prot_conf,r_A_au,a_over_rA,regime,Hu_bin,method,source
Kepler-186,Kepler-186 e,400.0,33.0,,2.5518544690999825,0.0431059064425394,sub,M2B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M0/1V
Kepler-186,Kepler-186 f,400.0,33.0,,2.5518544690999825,0.1692886507561549,sub,M2B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M0/1V
Kepler-283 A,Kepler-283 Ab,20.0,120.0,,0.0532971814254148,1.53854289864751,borderline,M2C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K3V scaling
Kepler-283 A,Kepler-283 Ac,20.0,120.0,,0.0532971814254148,6.398086932180499,super,M2C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K3V scaling
Kepler-296 A,Kepler-296 Ab,400.0,80.0,,2.6390910912840955,0.0299345483984644,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2V
Kepler-296 A,Kepler-296 Ac,400.0,80.0,,2.6390910912840955,0.0197416452096202,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2V
Kepler-296 A,Kepler-296 Ad,400.0,80.0,,2.6390910912840955,0.0447123634306177,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2V
Kepler-296 A,Kepler-296 Ae,400.0,80.0,,2.6390910912840955,0.0640371984726643,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2V
Kepler-296 A,Kepler-296 Af,400.0,80.0,,2.6390910912840955,0.0966241752102332,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2V
Kepler-442,Kepler-442 b,30.0,94.0,,0.0892411189416807,4.583089105676523,super,M1C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K5V scaling
Kepler-452,Kepler-452 b,2.0,8.89,,0.1122736818452176,9.316519978760764,super,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 G2V scaling (similar to Sun)
Kepler-51,Kepler-51 e,50.0,5.493958185359531,,0.3148109963672954,2.5474173686879262,super,M1C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:b_star_from_prot (canonical L142-175): saturated; P_rot=5.493958185359531; sp=G3V
Kepler-62,Kepler-62 b,15.0,0.42,,0.0511084360333112,1.0820131526614671,borderline,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K2V scaling
Kepler-62,Kepler-62 c,15.0,0.42,,0.0511084360333112,1.81770383150543,borderline,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K2V scaling
Kepler-62,Kepler-62 d,15.0,0.42,,0.0511084360333112,2.347948975033925,super,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K2V scaling
Kepler-62,Kepler-62 e,15.0,0.42,,0.0511084360333112,8.35478510282905,super,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K2V scaling
Kepler-62,Kepler-62 f,15.0,0.42,,0.0511084360333112,14.048561367286316,super,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K2V scaling
Kepler-725,Kepler-725 c,30.33568125986713,18.19818696459967,,1.0071338368494036,0.6692258519567376,borderline,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:b_star_from_prot (canonical L142-175): unsaturated_scaling; P_rot=18.19818696459967; sp=G8V
Kepler-78 A,Kepler-78 Ab,300.0,12.5,,1.5959237697692052,0.0062659634435084,sub,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 K0V active
